,workstationgroupid,workstationid,tranid,start,opid,opstat
0,8,16,1712071060162,2017-12-07T06:04:01,266,OperatorSignOn
1,8,15,1712071060152,2017-12-07T06:04:15,265,OperatorSignOn
2,8,14,1712071060142,2017-12-07T06:05:36,264,OperatorSignOn
3,8,18,1712071060182,2017-12-07T06:05:41,268,OperatorSignOn
4,8,17,1712071060172,2017-12-07T06:05:56,267,OperatorSignOn
5,1,12,1712071060122,2017-12-07T07:02:30,146,OperatorSignOn
6,1,12,1712071060125,2017-12-07T07:04:20,146,OperatorSignOff
7,1,13,1712071060132,2017-12-07T07:04:42,120,OperatorSignOn
8,1,22,1712071060222,2017-12-07T07:14:01,127,OperatorSignOn
9,1,12,1712071060127,2017-12-07T07:15:57,146,OperatorSignOn
10,1,20,1712071060202,2017-12-07T07:15:55,110,OperatorSignOn
11,1,7,171207106072,2017-12-07T07:42:47,143,OperatorSignOn
12,1,12,17120710601274,2017-12-07T08:07:08,146,OperatorLock
13,1,12,17120710601275,2017-12-07T08:07:46,146,OperatorUnLock
14,1,7,1712071060744,2017-12-07T08:20:45,143,OperatorSignOff
15,1,4,171207106042,2017-12-07T08:19:58,123,OperatorSignOn
16,1,7,1712071060746,2017-12-07T08:40:44,143,OperatorSignOn
17,1,7,1712071060751,2017-12-07T08:44:30,143,OperatorLock
18,1,7,1712071060752,2017-12-07T08:44:57,143,OperatorUnLock
19,1,21,1712071060212,2017-12-07T08:45:12,316,OperatorSignOn
20,1,7,1712071060783,2017-12-07T09:17:36,143,OperatorLock
21,1,7,1712071060784,2017-12-07T09:18:24,143,OperatorUnLock
22,1,4,1712071060471,2017-12-07T09:29:39,123,OperatorLock
23,1,4,1712071060472,2017-12-07T09:31:40,123,OperatorUnLock
24,1,20,171207106020154,2017-12-07T09:40:00,110,OperatorLock
25,1,7,17120710607111,2017-12-07T09:40:42,143,OperatorLock
26,1,20,171207106020155,2017-12-07T09:40:51,110,OperatorUnLock
27,1,7,17120710607112,2017-12-07T09:41:55,143,OperatorUnLock
28,1,7,17120710607133,2017-12-07T09:57:17,143,OperatorLock
29,1,7,17120710607134,2017-12-07T09:58:02,143,OperatorUnLock
30,1,6,171207106062,2017-12-07T10:00:05,108,OperatorSignOn
31,1,6,171207106064,2017-12-07T10:01:14,108,OperatorSignOff
32,1,5,171207106052,2017-12-07T10:00:17,10,OperatorSignOn
33,1,5,171207106054,2017-12-07T10:01:15,10,OperatorSignOff
34,1,21,17120710602167,2017-12-07T10:02:10,316,OperatorSignOff
35,1,12,171207106012211,2017-12-07T10:03:13,146,OperatorSignOff
36,1,21,17120710602169,2017-12-07T10:02:52,108,OperatorSignOn
37,1,12,171207106012213,2017-12-07T10:03:46,115,OperatorSignOn
38,1,8,171207106082,2017-12-07T10:08:12,606,OperatorSignOn
39,1,11,1712071060112,2017-12-07T10:30:09,333,OperatorSignOn
40,1,5,171207106056,2017-12-07T10:38:11,316,OperatorSignOn
41,1,23,1712071060232,2017-12-07T10:38:07,385,OperatorSignOn
42,1,20,171207106020224,2017-12-07T10:57:50,110,OperatorSignOff
43,1,20,171207106020226,2017-12-07T10:58:22,315,OperatorSignOn
44,1,11,17120710601144,2017-12-07T11:02:53,333,OperatorSignOff
45,1,13,171207106013259,2017-12-07T11:06:22,120,OperatorSignOff
46,1,8,1712071060885,2017-12-07T11:16:14,606,OperatorSignOff
47,1,3,171207106032,2017-12-07T11:29:12,110,OperatorSignOn
48,1,3,171207106034,2017-12-07T11:30:15,110,OperatorSignOff
49,1,22,171207106022280,2017-12-07T11:30:39,127,OperatorSignOff
50,1,22,171207106022282,2017-12-07T11:31:26,110,OperatorSignOn
51,1,13,171207106013261,2017-12-07T11:38:08,120,OperatorSignOn
52,1,8,1712071060887,2017-12-07T11:40:29,606,OperatorSignOn
53,1,6,171207106066,2017-12-07T11:49:49,10,OperatorSignOn
54,1,6,171207106068,2017-12-07T11:50:11,10,OperatorSignOff
55,1,7,17120710607267,2017-12-07T11:50:59,143,OperatorSignOff
