order_details_id,pizza_id,category_id,order_id,quantity,order_date,order_time
1,piz_01,2,1,1,01/01/2015,11:38:36
2,piz_02,2,2,1,01/01/2015,11:57:40
3,piz_03,4,2,1,01/01/2015,11:57:40
4,piz_04,3,2,1,01/01/2015,11:57:40
5,piz_05,4,2,1,01/01/2015,11:57:40
6,piz_06,1,2,1,01/01/2015,11:57:40
7,piz_07,3,3,1,01/01/2015,12:12:28
8,piz_08,3,3,1,01/01/2015,12:12:28
9,piz_07,3,4,1,01/01/2015,12:16:31
10,piz_07,3,5,1,01/01/2015,12:21:30
11,piz_09,1,6,1,01/01/2015,12:29:36
12,piz_10,2,6,1,01/01/2015,12:29:36
13,piz_11,3,7,1,01/01/2015,12:50:37
14,piz_11,3,8,1,01/01/2015,12:51:37
15,piz_12,2,9,1,01/01/2015,12:52:01
16,piz_13,4,9,1,01/01/2015,12:52:01
17,piz_14,2,9,1,01/01/2015,12:52:01
18,piz_04,3,9,1,01/01/2015,12:52:01
19,piz_15,3,9,1,01/01/2015,12:52:01
20,piz_16,4,9,1,01/01/2015,12:52:01
21,piz_17,3,9,1,01/01/2015,12:52:01
22,piz_18,4,9,1,01/01/2015,12:52:01
23,piz_19,4,9,1,01/01/2015,12:52:01
24,piz_20,4,10,1,01/01/2015,13:00:15
25,piz_21,1,10,1,01/01/2015,13:00:15
26,piz_22,1,11,1,01/01/2015,13:02:59
27,piz_23,1,11,1,01/01/2015,13:02:59
28,piz_24,1,11,1,01/01/2015,13:02:59
29,piz_25,2,11,1,01/01/2015,13:02:59
30,piz_23,1,12,1,01/01/2015,13:04:41
31,piz_26,1,12,1,01/01/2015,13:04:41
32,piz_27,1,12,1,01/01/2015,13:04:41
33,piz_07,3,12,1,01/01/2015,13:04:41
34,piz_20,4,13,1,01/01/2015,13:11:55
35,piz_10,2,14,1,01/01/2015,13:14:19
36,piz_28,2,15,1,01/01/2015,13:33:00
37,piz_03,4,15,1,01/01/2015,13:33:00
38,piz_29,3,15,1,01/01/2015,13:33:00
39,piz_10,2,15,1,01/01/2015,13:33:00
40,piz_30,4,16,1,01/01/2015,13:34:07
41,piz_31,2,16,1,01/01/2015,13:34:07
42,piz_06,1,16,1,01/01/2015,13:34:07
43,piz_22,1,17,1,01/01/2015,13:53:00
44,piz_32,3,17,1,01/01/2015,13:53:00
45,piz_03,4,17,1,01/01/2015,13:53:00
46,piz_33,4,17,1,01/01/2015,13:53:00
47,piz_07,3,17,1,01/01/2015,13:53:00
48,piz_34,4,17,1,01/01/2015,13:53:00
49,piz_35,4,17,2,01/01/2015,13:53:00
50,piz_20,4,17,1,01/01/2015,13:53:00
51,piz_36,3,17,1,01/01/2015,13:53:00
52,piz_37,4,17,1,01/01/2015,13:53:00
53,piz_38,2,18,1,01/01/2015,13:57:08
54,piz_14,2,19,1,01/01/2015,13:59:09
55,piz_39,3,19,1,01/01/2015,13:59:09
56,piz_28,2,20,1,01/01/2015,14:03:08
57,piz_03,4,20,1,01/01/2015,14:03:08
58,piz_14,2,21,1,01/01/2015,14:14:29
59,piz_03,4,22,1,01/01/2015,14:16:26
60,piz_40,2,22,1,01/01/2015,14:16:26
61,piz_21,1,22,1,01/01/2015,14:16:26
62,piz_41,1,23,1,01/01/2015,14:19:03
63,piz_42,1,24,1,01/01/2015,14:23:01
64,piz_40,2,24,1,01/01/2015,14:23:01
65,piz_43,2,24,1,01/01/2015,14:23:01
66,piz_44,3,24,1,01/01/2015,14:23:01
67,piz_45,3,25,1,01/01/2015,14:44:44
68,piz_06,1,25,1,01/01/2015,14:44:44
69,piz_12,2,26,1,01/01/2015,14:54:26
70,piz_46,4,26,1,01/01/2015,14:54:26
71,piz_22,1,27,1,01/01/2015,15:11:17
72,piz_02,2,27,1,01/01/2015,15:11:17
73,piz_37,4,27,1,01/01/2015,15:11:17
74,piz_47,1,28,1,01/01/2015,15:35:46
75,piz_13,4,29,1,01/01/2015,15:41:01
76,piz_06,1,30,1,01/01/2015,15:41:25
77,piz_05,4,31,1,01/01/2015,15:50:18
78,piz_48,2,31,1,01/01/2015,15:50:18
79,piz_28,2,32,1,01/01/2015,15:53:18
80,piz_49,4,32,1,01/01/2015,15:53:18
81,piz_14,2,32,1,01/01/2015,15:53:18
82,piz_07,3,32,1,01/01/2015,15:53:18
83,piz_22,1,33,1,01/01/2015,15:54:08
84,piz_13,4,33,1,01/01/2015,15:54:08
85,piz_10,2,34,1,01/01/2015,16:21:21
86,piz_50,4,35,1,01/01/2015,16:32:04
87,piz_51,2,35,1,01/01/2015,16:32:04
88,piz_43,2,35,1,01/01/2015,16:32:04
89,piz_06,1,35,1,01/01/2015,16:32:04
90,piz_42,1,36,1,01/01/2015,16:54:09
91,piz_02,2,36,1,01/01/2015,16:54:09
92,piz_04,3,37,1,01/01/2015,16:56:09
93,piz_20,4,37,1,01/01/2015,16:56:09
94,piz_52,2,38,1,01/01/2015,17:03:00
95,piz_14,2,38,1,01/01/2015,17:03:00
96,piz_04,3,39,1,01/01/2015,17:07:23
97,piz_30,4,40,1,01/01/2015,17:14:36
98,piz_41,1,40,1,01/01/2015,17:14:36
99,piz_33,4,41,1,01/01/2015,17:15:20
100,piz_13,4,41,1,01/01/2015,17:15:20
101,piz_28,2,42,1,01/01/2015,17:28:09
102,piz_03,4,42,1,01/01/2015,17:28:09
103,piz_20,4,42,1,01/01/2015,17:28:09
104,piz_53,3,42,1,01/01/2015,17:28:09
105,piz_54,1,43,1,01/01/2015,17:38:34
106,piz_07,3,43,1,01/01/2015,17:38:34
107,piz_55,3,43,1,01/01/2015,17:38:34
108,piz_56,4,44,1,01/01/2015,17:54:20
109,piz_30,4,45,1,01/01/2015,17:55:48
110,piz_52,2,45,1,01/01/2015,17:55:48
111,piz_57,1,45,1,01/01/2015,17:55:48
112,piz_27,1,46,1,01/01/2015,18:25:51
113,piz_58,2,46,1,01/01/2015,18:25:51
114,piz_57,1,46,1,01/01/2015,18:25:51
115,piz_21,1,47,1,01/01/2015,18:26:34
116,piz_19,4,47,1,01/01/2015,18:26:34
117,piz_59,1,48,1,01/01/2015,18:26:42
118,piz_13,4,48,1,01/01/2015,18:26:42
119,piz_08,3,48,1,01/01/2015,18:26:42
120,piz_17,3,48,1,01/01/2015,18:26:42
121,piz_39,3,49,1,01/01/2015,18:33:00
122,piz_60,2,50,1,01/01/2015,18:41:01
123,piz_22,1,51,1,01/01/2015,18:48:28
124,piz_51,2,51,1,01/01/2015,18:48:28
125,piz_61,2,52,1,01/01/2015,18:53:02
126,piz_20,4,52,1,01/01/2015,18:53:02
127,piz_17,3,52,1,01/01/2015,18:53:02
128,piz_62,2,53,1,01/01/2015,18:54:17
129,piz_63,3,53,1,01/01/2015,18:54:17
130,piz_64,3,54,1,01/01/2015,19:01:45
131,piz_06,1,54,1,01/01/2015,19:01:45
132,piz_36,3,55,1,01/01/2015,19:03:19
133,piz_17,3,55,1,01/01/2015,19:03:19
134,piz_02,2,56,1,01/01/2015,19:07:00
135,piz_65,4,56,1,01/01/2015,19:07:00
136,piz_66,1,56,1,01/01/2015,19:07:00
137,piz_02,2,57,1,01/01/2015,19:10:51
138,piz_03,4,58,1,01/01/2015,19:30:40
139,piz_43,2,58,1,01/01/2015,19:30:40
140,piz_34,4,59,1,01/01/2015,19:40:08
141,piz_62,2,59,1,01/01/2015,19:40:08
142,piz_25,2,59,1,01/01/2015,19:40:08
143,piz_27,1,60,1,01/01/2015,20:05:16
144,piz_33,4,60,1,01/01/2015,20:05:16
145,piz_42,1,61,1,01/01/2015,20:08:43
146,piz_04,3,61,1,01/01/2015,20:08:43
147,piz_42,1,62,1,01/01/2015,20:50:16
148,piz_63,3,62,1,01/01/2015,20:50:16
149,piz_67,2,63,1,01/01/2015,20:51:42
150,piz_28,2,64,1,01/01/2015,20:52:08
151,piz_62,2,65,1,01/01/2015,21:16:00
152,piz_68,3,65,1,01/01/2015,21:16:00
153,piz_69,3,65,1,01/01/2015,21:16:00
154,piz_63,3,65,1,01/01/2015,21:16:00
155,piz_02,2,66,1,01/01/2015,21:47:55
156,piz_40,2,66,1,01/01/2015,21:47:55
157,piz_21,1,67,1,01/01/2015,22:03:40
158,piz_02,2,68,1,01/01/2015,22:07:32
159,piz_04,3,68,1,01/01/2015,22:07:32
160,piz_07,3,68,1,01/01/2015,22:07:32
161,piz_22,1,69,1,01/01/2015,22:12:13
162,piz_34,4,70,1,02/01/2015,11:38:51
163,piz_29,3,70,1,02/01/2015,11:38:51
164,piz_06,1,71,1,02/01/2015,11:40:50
165,piz_37,4,72,1,02/01/2015,11:57:25
166,piz_70,1,73,1,02/01/2015,11:58:56
167,piz_03,4,74,1,02/01/2015,12:01:12
168,piz_20,4,74,1,02/01/2015,12:01:12
169,piz_56,4,74,1,02/01/2015,12:01:12
170,piz_71,3,74,1,02/01/2015,12:01:12
171,piz_15,3,75,1,02/01/2015,12:10:15
172,piz_65,4,75,1,02/01/2015,12:10:15
173,piz_38,2,75,1,02/01/2015,12:10:15
174,piz_28,2,76,1,02/01/2015,12:21:17
175,piz_61,2,76,1,02/01/2015,12:21:17
176,piz_72,4,76,1,02/01/2015,12:21:17
177,piz_17,3,76,1,02/01/2015,12:21:17
178,piz_42,1,77,1,02/01/2015,12:22:46
179,piz_01,2,77,1,02/01/2015,12:22:46
180,piz_28,2,78,1,02/01/2015,12:28:14
181,piz_12,2,78,1,02/01/2015,12:28:14
182,piz_30,4,78,1,02/01/2015,12:28:14
183,piz_40,2,78,1,02/01/2015,12:28:14
184,piz_17,3,78,3,02/01/2015,12:28:14
185,piz_70,1,78,1,02/01/2015,12:28:14
186,piz_14,2,79,1,02/01/2015,12:29:11
187,piz_62,2,79,1,02/01/2015,12:29:11
188,piz_06,1,79,1,02/01/2015,12:29:11
189,piz_48,2,80,1,02/01/2015,12:35:38
190,piz_57,1,80,1,02/01/2015,12:35:38
191,piz_06,1,81,1,02/01/2015,12:40:01
192,piz_28,2,82,1,02/01/2015,12:45:51
193,piz_24,1,82,1,02/01/2015,12:45:51
194,piz_17,3,82,1,02/01/2015,12:45:51
195,piz_73,4,82,1,02/01/2015,12:45:51
196,piz_41,1,83,1,02/01/2015,12:53:27
197,piz_25,2,84,1,02/01/2015,13:13:41
198,piz_02,2,85,1,02/01/2015,13:34:49
199,piz_12,2,85,1,02/01/2015,13:34:49
200,piz_04,3,85,1,02/01/2015,13:34:49
201,piz_74,2,85,1,02/01/2015,13:34:49
202,piz_61,2,86,1,02/01/2015,13:40:31
203,piz_40,2,87,1,02/01/2015,14:01:02
204,piz_05,4,87,1,02/01/2015,14:01:02
205,piz_71,3,87,1,02/01/2015,14:01:02
206,piz_11,3,87,1,02/01/2015,14:01:02
207,piz_03,4,88,1,02/01/2015,14:10:08
208,piz_29,3,89,1,02/01/2015,14:30:19
209,piz_06,1,89,1,02/01/2015,14:30:19
210,piz_39,3,90,1,02/01/2015,15:08:48
211,piz_70,1,90,1,02/01/2015,15:08:48
212,piz_22,1,91,2,02/01/2015,15:14:43
213,piz_75,1,91,1,02/01/2015,15:14:43
214,piz_48,2,91,1,02/01/2015,15:14:43
215,piz_42,1,92,1,02/01/2015,15:17:02
216,piz_04,3,92,1,02/01/2015,15:17:02
217,piz_07,3,92,1,02/01/2015,15:17:02
218,piz_34,4,92,1,02/01/2015,15:17:02
219,piz_43,2,92,1,02/01/2015,15:17:02
220,piz_53,3,92,1,02/01/2015,15:17:02
221,piz_76,4,92,1,02/01/2015,15:17:02
222,piz_11,3,92,1,02/01/2015,15:17:02
223,piz_74,2,92,2,02/01/2015,15:17:02
224,piz_45,3,93,1,02/01/2015,15:29:31
225,piz_40,2,94,1,02/01/2015,16:17:16
226,piz_41,1,94,1,02/01/2015,16:17:16
227,piz_31,2,95,1,02/01/2015,16:18:04
228,piz_55,3,95,1,02/01/2015,16:18:04
229,piz_31,2,96,1,02/01/2015,16:21:20
230,piz_28,2,97,1,02/01/2015,16:45:33
231,piz_58,2,98,1,02/01/2015,17:18:18
232,piz_38,2,98,1,02/01/2015,17:18:18
233,piz_04,3,99,1,02/01/2015,17:45:42
234,piz_61,2,100,1,02/01/2015,17:46:17
235,piz_23,1,101,1,02/01/2015,17:51:33
236,piz_25,2,101,1,02/01/2015,17:51:33
237,piz_29,3,101,1,02/01/2015,17:51:33
238,piz_77,3,101,1,02/01/2015,17:51:33
239,piz_09,1,102,1,02/01/2015,17:54:04
240,piz_44,3,102,1,02/01/2015,17:54:04
241,piz_11,3,103,1,02/01/2015,18:02:09
242,piz_42,1,104,1,02/01/2015,18:02:12
243,piz_54,1,104,1,02/01/2015,18:02:12
244,piz_78,4,104,1,02/01/2015,18:02:12
245,piz_46,4,104,1,02/01/2015,18:02:12
246,piz_52,2,105,2,02/01/2015,18:12:01
247,piz_25,2,105,1,02/01/2015,18:12:01
248,piz_64,3,105,1,02/01/2015,18:12:01
249,piz_20,4,106,1,02/01/2015,18:12:13
250,piz_17,3,106,1,02/01/2015,18:12:13
251,piz_23,1,107,1,02/01/2015,18:25:09
252,piz_07,3,107,1,02/01/2015,18:25:09
253,piz_17,3,107,1,02/01/2015,18:25:09
254,piz_46,4,107,1,02/01/2015,18:25:09
255,piz_58,2,108,1,02/01/2015,18:25:25
256,piz_61,2,108,1,02/01/2015,18:25:25
257,piz_71,3,108,1,02/01/2015,18:25:25
258,piz_14,2,109,1,02/01/2015,18:27:50
259,piz_04,3,109,1,02/01/2015,18:27:50
260,piz_43,2,109,1,02/01/2015,18:27:50
261,piz_08,3,109,1,02/01/2015,18:27:50
262,piz_28,2,110,1,02/01/2015,18:36:19
263,piz_38,2,110,1,02/01/2015,18:36:19
264,piz_29,3,110,1,02/01/2015,18:36:19
265,piz_69,3,110,1,02/01/2015,18:36:19
266,piz_24,1,111,1,02/01/2015,18:38:01
267,piz_03,4,111,1,02/01/2015,18:38:01
268,piz_43,2,111,1,02/01/2015,18:38:01
269,piz_18,4,111,1,02/01/2015,18:38:01
270,piz_48,2,112,1,02/01/2015,18:41:40
271,piz_23,1,113,1,02/01/2015,18:50:21
272,piz_20,4,113,1,02/01/2015,18:50:21
273,piz_66,1,113,1,02/01/2015,18:50:21
274,piz_25,2,114,1,02/01/2015,18:59:32
275,piz_68,3,114,1,02/01/2015,18:59:32
276,piz_28,2,115,1,02/01/2015,19:05:17
277,piz_38,2,115,1,02/01/2015,19:05:17
278,piz_57,1,115,1,02/01/2015,19:05:17
279,piz_03,4,116,1,02/01/2015,19:18:49
280,piz_53,3,117,1,02/01/2015,19:23:02
281,piz_39,3,117,1,02/01/2015,19:23:02
282,piz_08,3,118,1,02/01/2015,19:26:59
283,piz_76,4,118,1,02/01/2015,19:26:59
284,piz_33,4,119,1,02/01/2015,19:32:29
285,piz_12,2,120,1,02/01/2015,19:35:07
286,piz_52,2,120,1,02/01/2015,19:35:07
287,piz_37,4,120,1,02/01/2015,19:35:07
288,piz_42,1,121,1,02/01/2015,19:38:48
289,piz_30,4,121,1,02/01/2015,19:38:48
290,piz_39,3,121,1,02/01/2015,19:38:48
291,piz_21,1,121,1,02/01/2015,19:38:48
292,piz_07,3,122,1,02/01/2015,19:50:19
293,piz_79,2,123,1,02/01/2015,20:12:09
294,piz_09,1,124,1,02/01/2015,20:12:34
295,piz_39,3,124,1,02/01/2015,20:12:34
296,piz_17,3,124,1,02/01/2015,20:12:34
297,piz_10,2,124,1,02/01/2015,20:12:34
298,piz_60,2,125,1,02/01/2015,20:31:06
299,piz_46,4,126,1,02/01/2015,20:53:42
300,piz_43,2,127,1,02/01/2015,20:58:23
301,piz_69,3,128,1,02/01/2015,21:05:06
302,piz_28,2,129,1,02/01/2015,21:13:02
303,piz_74,2,129,1,02/01/2015,21:13:02
304,piz_52,2,130,1,02/01/2015,21:14:55
305,piz_14,2,130,1,02/01/2015,21:14:55
306,piz_05,4,130,1,02/01/2015,21:14:55
307,piz_41,1,130,1,02/01/2015,21:14:55
308,piz_27,1,131,1,02/01/2015,21:33:10
309,piz_03,4,131,1,02/01/2015,21:33:10
310,piz_13,4,131,1,02/01/2015,21:33:10
311,piz_11,3,131,1,02/01/2015,21:33:10
312,piz_48,2,132,1,02/01/2015,21:42:45
313,piz_22,1,133,1,02/01/2015,22:00:17
314,piz_61,2,133,1,02/01/2015,22:00:17
315,piz_10,2,133,1,02/01/2015,22:00:17
316,piz_28,2,134,1,02/01/2015,22:13:24
317,piz_21,1,134,1,02/01/2015,22:13:24
318,piz_11,3,134,1,02/01/2015,22:13:24
319,piz_46,4,135,1,02/01/2015,22:29:34
320,piz_03,4,136,1,02/01/2015,22:32:49
321,piz_36,3,136,1,02/01/2015,22:32:49
322,piz_65,4,137,1,03/01/2015,11:34:10
323,piz_48,2,137,1,03/01/2015,11:34:10
324,piz_77,3,137,1,03/01/2015,11:34:10
325,piz_24,1,138,1,03/01/2015,11:44:50
326,piz_30,4,138,1,03/01/2015,11:44:50
