Order reference,uuid_brand,brand category,carrier,ts_submitted,Order amount,fg_stock_issues,fg_on_time,fg_reception_issues,Reception Issue
O_EJCE8TKE_675,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-08-13 09:18:02.000000 UTC,€194.40,FALSE,TRUE,FALSE,OK - No Reception Issue
O_YNZY7SKN_880,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-09-29 21:44:37.000000 UTC,€160.20,FALSE,FALSE,FALSE,OK - No Reception Issue
O_5ZC3MVXD_671,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,cogepart,2024-09-22 16:15:22.000000 UTC,€126.36,FALSE,TRUE,FALSE,OK - No Reception Issue
O_MVCPANFF_148,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-09-24 16:16:51.000000 UTC,€108.00,TRUE,TRUE,FALSE,OK - No Reception Issue
O_PBND5RK5_141,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-09-19 19:13:35.000000 UTC,€248.40,TRUE,TRUE,FALSE,OK - No Reception Issue
O_MHF2AK66_319,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-08-26 08:04:58.000000 UTC,€151.20,FALSE,TRUE,FALSE,OK - No Reception Issue
O_Q6J684T4_124,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel,2024-06-05 14:29:01.000000 UTC,€168.48,FALSE,TRUE,FALSE,OK - No Reception Issue
O_1E3PVEZS_791,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-07-31 14:02:21.000000 UTC,€149.04,FALSE,TRUE,FALSE,OK - No Reception Issue
O_VQZ79EDJ_165,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,cogepart,2024-09-27 12:06:59.000000 UTC,€149.04,FALSE,TRUE,FALSE,OK - No Reception Issue
O_FLN726F7_220,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-09-10 16:38:45.000000 UTC,€196.56,FALSE,FALSE,FALSE,OK - No Reception Issue
O_E3EJK3T9_564,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-09-05 13:03:03.000000 UTC,€298.08,FALSE,TRUE,FALSE,OK - No Reception Issue
O_983JAH23_023,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,cogepart,2024-08-28 17:38:51.000000 UTC,€149.04,FALSE,TRUE,FALSE,OK - No Reception Issue
O_TJJL9BPR_777,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-09-19 18:18:35.000000 UTC,€198.72,FALSE,TRUE,FALSE,OK - No Reception Issue
O_76XR2PXQ_312,1ed6b38f-02a5-6480-8046-567a60de2e1c,Beauty & Wellness,kuehne_nagel_first,2024-09-25 07:54:38.000000 UTC,€267.00,FALSE,FALSE,TRUE,Damaged
O_NWJE8G7X_907,1ed6b38e-bfe3-6700-bf81-567a60de2e1c,Home & Kitchen,dpd,2024-09-12 11:10:03.000000 UTC,€164.80,FALSE,TRUE,FALSE,OK - No Reception Issue
