,Currency,Rates
0,AED,3.893613
1,AFN,79.975022
2,ALL,105.680208
3,AMD,441.717275
4,ANG,1.901944
5,AOA,878.256865
6,ARS,369.396319
7,AUD,1.661002
8,AWG,1.908093
9,AZN,1.806296
10,BAM,1.955434
11,BBD,2.130801
12,BDT,116.34821
13,BGN,1.955434
14,BHD,0.397825
15,BIF,2993.139442
16,BMD,1.060051
17,BND,1.44213
18,BOB,7.292634
19,BRL,5.452779
20,BSD,1.055302
21,BTC,3.7904771e-5
22,BTN,87.831451
23,BWP,14.596266
24,BYN,3.475849
25,BYR,20777.00886
26,BZD,2.127302
27,CAD,1.450416
28,CDF,2663.38348
29,CHF,0.964526
30,CLF,0.034948
31,CLP,964.319401
32,CNY,7.626863
33,COP,4589.740429
34,CRC,563.394487
35,CUC,1.060051
36,CUP,28.091364
37,CVE,110.244353
38,CZK,24.472035
39,DJF,187.904809
40,DKK,7.466901
41,DOP,59.948773
42,DZD,145.867366
43,EGP,32.503313
44,ERN,15.900772
45,ETB,58.831682
46,EUR,1
47,FJD,2.404886
48,FKP,0.86504
49,GBP,0.866055
50,GEL,2.83568
51,GGP,0.86504
52,GHS,12.405677
53,GIP,0.86504
54,GMD,69.437456
55,GNF,9061.30299
56,GTQ,8.279449
57,GYD,220.78865
58,HKD,8.302271
59,HNL,26.027126
60,HRK,7.435953
61,HTG,141.943417
62,HUF,387.644965
63,IDR,16587.844449
64,ILS,4.09216
65,IMP,0.86504
66,INR,88.111888
67,IQD,1382.541076
68,IRR,44773.928115
69,ISK,145.291064
70,JEP,0.86504
71,JMD,163.879309
72,JOD,0.752217
73,JPY,158.186223
74,KES,155.900803
75,KGS,94.260185
76,KHR,4355.184357
77,KMF,495.415463
78,KPW,954.034297
79,KRW,1425.085539
80,KWD,0.327949
81,KYD,0.879435
82,KZT,503.745658
83,LAK,21630.948933
84,LBP,15861.82938
85,LKR,342.035943
86,LRD,197.753007
87,LSL,20.675002
88,LTL,3.130057
89,LVL,0.641215
90,LYD,5.168032
91,MAD,10.800277
92,MDL,19.238397
93,MGA,4794.102156
94,MKD,61.508481
95,MMK,2216.184951
96,MNT,3676.441422
97,MOP,8.513606
98,MRO,378.438193
99,MUR,46.858243
100,MVR,16.328758
101,MWK,1223.570848
102,MXN,19.252765
103,MYR,5.011398
104,MZN,67.048203
105,NAD,20.674957
106,NGN,813.059844
107,NIO,38.612769
108,NOK,11.572259
109,NPR,140.530681
110,NZD,1.771477
111,OMR,0.408161
112,PAB,1.055302
113,PEN,4.035344
114,PGK,3.884273
115,PHP,60.103333
116,PKR,294.355573
117,PLN,4.591826
118,PYG,7716.554836
119,QAR,3.859688
120,RON,4.967829
121,RSD,117.268038
122,RUB,107.06556
123,RWF,1284.559426
124,SAR,3.975601
125,SBD,8.984132
126,SCR,13.519937
127,SDG,637.407941
128,SEK,11.617794
129,SGD,1.44549
130,SHP,1.289818
131,SLE,23.895368
132,SLL,20936.01694
133,SOS,603.703198
134,SSP,637.624838
135,SRD,40.301077
136,STD,21940.925244
137,SYP,13782.190718
138,SZL,20.442172
139,THB,39.158693
140,TJS,11.592929
141,TMT,3.720781
142,TND,3.366989
143,TOP,2.532834
144,TRY,29.276612
145,TTD,7.149661
146,TWD,34.062956
147,TZS,2643.604903
148,UAH,38.676857
149,UGX,3952.259817
150,USD,1.060051
151,UYU,41.322261
152,UZS,12873.589021
153,VEF,3678956.296944
154,VES,36.790663
155,VND,25849.355156
156,VUV,129.773268
157,WST,2.952897
158,XAF,655.834175
159,XAG,0.049059
160,XAU,0.000578
161,XCD,2.864843
162,XDR,0.80255
163,XOF,655.834175
164,XPF,120.425658
165,YER,265.440698
166,ZAR,20.481711
167,ZMK,9541.739118
168,ZMW,22.504785
169,ZWL,341.336142
