EmployeeNumber,Age,Attrition,Department,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,Gender,OverTime,PerformanceRating,JobInvolvement,JobLevel,JobRole
1,41,Yes,Sales,6,4,0,5,8,0,Female,Yes,3,3,2,Sales Executive
2,49,No,Research & Development,10,7,1,7,10,3,Male,No,4,2,2,Research Scientist
4,37,Yes,Research & Development,0,0,0,0,7,3,Male,Yes,3,2,1,Laboratory Technician
5,33,No,Research & Development,8,7,3,0,8,3,Female,Yes,3,3,1,Research Scientist
7,27,No,Research & Development,2,2,2,2,6,3,Male,No,3,3,1,Laboratory Technician
8,32,No,Research & Development,7,7,3,6,8,2,Male,No,3,3,1,Laboratory Technician
10,59,No,Research & Development,1,0,0,0,12,3,Female,Yes,4,4,1,Laboratory Technician
11,30,No,Research & Development,1,0,0,0,1,2,Male,No,4,3,1,Laboratory Technician
12,38,No,Research & Development,9,7,1,8,10,2,Male,No,4,2,3,Manufacturing Director
13,36,No,Research & Development,7,7,7,7,17,3,Male,No,3,3,2,Healthcare Representative
14,35,No,Research & Development,5,4,0,3,6,5,Male,No,3,4,1,Laboratory Technician
15,29,No,Research & Development,9,5,0,8,10,3,Female,Yes,3,2,2,Laboratory Technician
16,31,No,Research & Development,5,2,4,3,5,1,Male,No,3,3,1,Research Scientist
18,34,No,Research & Development,2,2,1,2,3,2,Male,No,3,3,1,Laboratory Technician
19,28,Yes,Research & Development,4,2,0,3,6,4,Male,Yes,3,2,1,Laboratory Technician
20,29,No,Research & Development,10,9,8,8,10,1,Female,No,3,4,3,Manufacturing Director
21,32,No,Research & Development,6,2,0,5,7,5,Male,Yes,3,4,1,Research Scientist
22,22,No,Research & Development,1,0,0,0,1,2,Male,Yes,3,4,1,Laboratory Technician
23,53,No,Sales,25,8,3,7,31,3,Female,No,3,2,4,Manager
24,38,No,Research & Development,3,2,1,2,6,3,Male,Yes,3,3,1,Research Scientist
26,24,No,Research & Development,4,2,1,3,5,5,Female,No,3,4,2,Manufacturing Director
27,36,Yes,Sales,5,3,0,3,10,4,Male,No,4,2,1,Sales Representative
28,34,No,Research & Development,12,6,2,11,13,4,Female,No,3,3,3,Research Director
30,21,No,Research & Development,0,0,0,0,0,6,Male,No,3,3,1,Research Scientist
31,34,Yes,Research & Development,4,2,1,3,8,2,Male,No,3,3,1,Research Scientist
