director
Stanley Kubrick
Randal Kleiser
Irvin Kershner
Jim Abrahams
Harold Ramis
Sean S. Cunningham
John Landis
Martin Scorsese
Richard Lester
Walter Hill
Buddy Van Horn
Jamie Uys
Robert Altman
Robert Redford
Brian De Palma
Jeannot Szwarc
Colin Higgins
John Carpenter
William Friedkin
Michael Cimino
Don Taylor
Robert Greenwald
Stuart Rosenberg
Paul Schrader
Lamont Johnson
Howard Zieff
Floyd Mutrux
Kevin Connor
Richard Rush
Michael Ritchie
Clive Donner
Woody Allen
Jonathan Demme
Clint Eastwood
James Goldstone
Joe Camp
Eric Karson
Charles Jarrott
Paul Mazursky
John Huston
Steven Spielberg
Sam Raimi
Bob Clark
Desmond Davis
John Boorman
George Miller
Ivan Reitman
Hal Needham
Michael Mann
Terry Gilliam
Steve Miner
John Glen
Rick Rosenthal
Harold Becker
Warren Beatty
Directors
Hugh Hudson
Sydney Pollack
John Derek
Steve Gordon
Mel Brooks
Joe Dante
Matthew Robbins
Ivan Passer
Jean-Jacques Annaud
Graham Baker
Frank Perry
Alan Myerson
Bob Rafelson
Wes Craven
Peter Yates
Peter Hyams
Blake Edwards
Lucio Fulci
Francis Ford Coppola
Ulu Grosbard
Bruce Malmuth
John G. Avildsen
Michael Wadleigh
Sidney Lumet
Ken Wiederhorn
Steve Rash
Michael Schultz
Ken Shapiro
Herbert Ross
William A. Fraker
Franklin J. Schaffner
Luis Valdez
Billy Wilder
Oz Scott
Allan Arkush
Gus Trikonis
John Badham
Terence Young
Jean-Claude Tramont
Roger Spottiswoode
Alan J. Pakula
John Schlesinger
Noel Nosseck
Amy Heckerling
Ridley Scott
John Milius
Ted Kotcheff
Taylor Hackford
Patricia Birch
Tobe Hooper
Nicholas Meyer
Richard Attenborough
Steven Lisberger
Don Bluth
Sylvester Stallone
Don Coscarelli
George A. Romero
Alan Parker
Ingmar Bergman
Tommy Lee Wallace
Jim Henson
Juan Piquer Simón
George Roy Hill
Barry Levinson
Peter Weir
Jules Bass
Sidney J. Furie
Ken Finkleman
Richard Donner
Mark Rosman
Guy Hamilton
Michael Winner
Michael Miller
Robert Towne
Carl Reiner
Damiano Damiani
Costa-Gavras
David S. Ward
Robert Benton
Charles Band
Ian Sharp
Tony Richardson
Norman Jewison
Hal Ashby
Fred Schepisi
James Glickenhaus
Richard Brooks
Jerry Belson
James Fargo
Delbert Mann
Thomas K. Avildsen
Don Siegel
Fred Zinnemann
James Burrows
Richard Marquand
Paul Brickman
Lawrence Kasdan
Joe Alves
Adrian Lyne
Philip Kaufman
David Cronenberg
Noel Black
Martha Coolidge
James L. Brooks
Lewis Teague
Jim McBride
Richard Franklin
Mike Nichols
Michael Chapman
Barbra Streisand
Ralph Bakshi
Mel Damski
Terry Jones
James Sbardellati
Jack Clayton
Bob Fosse
Michael Apted
Steve Carver
Curtis Hanson
Rafal Zielinski
Douglas Trumbull
Robert Vincent O'Neil
J. Lee Thompson
Howard Avedis
Andrew V. McLaglen
John Herzfeld
Paul Nicholas
Brian G. Hutton
Clive Smith
Luigi Cozzi
Richard Fleischer
Sam Peckinpah
Sam Firstenberg
Alan Johnson
George P. Cosmatos
Joel Schumacher
John Mackenzie
Peter Sasdy
Joseph Sargent
Jeff Kanew
John Sayles
Amy Holden Jones
Ferdinand Fairfax
William Olsen
Marshall Brickman
Donald Shebib
Michael Tuchner
Charles Burnett
James Cameron
David Lynch
Sergio Leone
Hugh Wilson
Milos Forman
Martin Brest
Wolfgang Petersen
Robert Zemeckis
John Hughes
Rob Reiner
Fritz Kiersch
Nick Castle
Ron Howard
Joel Coen
Neal Israel
Joseph Zito
Roger Donaldson
Mark L. Lester
Douglas Cheek
Gene Wilder
Leonard Nimoy
Alex Cox
Roland Joffé
Thom Eberhardt
Stewart Raffill
Jim Jarmusch
David Lean
Albert Magnoli
John Guillermin
Neil Jordan
Richard Benjamin
Charles E. Sellier Jr.
Stan Lathan
John Byrum
Arthur Hiller
Mark Rydell
Charles Shyer
William Tannen
Paul Bartel
Douglas Day Stewart
Willard Huyck
Alan Rudolph
Gillian Armstrong
Peter Webb
Louis Malle
James Bridges
Adam Brooks
Jonathan Lynn
Peter Bogdanovich
Dan O'Bannon
Akira Kurosawa
James Ivory
Tom Holland
Jack Sholder
Tim Burton
Jerry Paris
Ted Berman
Danny Steinmann
Andrey Konchalovskiy
Stuart Gordon
Susan Seidelman
Howard Storm
Daniel Attias
Joyce Chopra
James Komack
Geoff Murphy
Martin Ritt
Kevin Reynolds
Rudy De Luca
Donna Deitch
Stan Dragoti
Andrew Davis
Burt Reynolds
Franc Roddam
Bruce Beresford
Lance Hool
Phillip Borsos
Steven Hahn
Arna Selznick
Bud Yorkin
Joel Silberg
Tony Scott
Peter Faiman
Russell Mulcahy
Howard Deutch
Oliver Stone
Frank Oz
Tim Hunter
Menahem Golan
Mike Marvin
David Anspaugh
Stephen King
David Seltzer
Tom McLoughlin
Alan Metter
Edward Zwick
Stephen Herek
John McNaughton
Fred Dekker
Robert Harmon
Harry Winer
John Irvin
Nelson Shin
John Carl Buechler
James Foley
Spike Lee
Brian Gibson
Gary Nelson
Randa Haines
Fred Walton
Roman Polanski
Richard Pearce
Trevor Nunn
Robert Mandel
Paul Michael Glaser
Richard Wenk
Kevin Tenney
Richard Pryor
Dick Richards
Jim Goddard
Gene Saks
