star
Jack Nicholson
Brooke Shields
Mark Hamill
Robert Hays
Chevy Chase
Betsy Palmer
John Belushi
Robert De Niro
Gene Hackman
David Carradine
Clint Eastwood
N!xau
Robin Williams
Donald Sutherland
Michael Caine
Christopher Reeve
Jane Fonda
Adrienne Barbeau
Al Pacino
Kris Kristofferson
Kirk Douglas
Olivia Newton-John
Robert Redford
Richard Gere
Scott Glenn
Goldie Hawn
Tony Danza
Rory Calhoun
Peter O'Toole
Don Adams
Woody Allen
Paul Le Mat
Paul Newman
Chuck Norris
Elliott Gould
Michael Ontkean
Paul Michael Glaser
Harrison Ford
David Naughton
Kurt Russell
Bruce Campbell
Dan Monahan
John Travolta
Laurence Olivier
Nigel Terry
Mel Gibson
Bill Murray
Burt Reynolds
James Caan
Sean Connery
Roger Moore
Jamie Lee Curtis
George C. Scott
Warren Beatty
Mickey Rooney
Ben Cross
Bo Derek
Dudley Moore
Mel Brooks
Dee Wallace
Peter MacNicol
Jeff Bridges
Everett McGill
Sam Neill
Faye Dunaway
Sylvia Kristel
Maren Jensen
William Hurt
Julie Andrews
Catriona MacColl
Frederic Forrest
Sylvester Stallone
Albert Finney
Treat Williams
Lauren Tewes
George Segal
Steve Martin
Klinton Spilsbury
Lesley-Anne Down
Daniel Valdez
Jack Lemmon
Richard Pryor
Andy Kaufman
Richard Dreyfuss
Robert Duvall
David Rasche
Harry Hamlin
Sean Penn
Arnold Schwarzenegger
Henry Thomas
Michelle Pfeiffer
Aileen Quinn
JoBeth Williams
Nick Nolte
William Shatner
Meryl Streep
Ben Kingsley
Dustin Hoffman
Elizabeth Hartman
Marc Singer
Hal Holbrook
Bob Geldof
Nastassja Kinski
Bertil Guve
Dana Kimmell
Tom Atkins
Jim Henson
Christopher George
Steve Guttenberg
Barbara Hershey
Kate McNeil
Peter Ustinov
Charles Bronson
Barry Bostwick
Mariel Hemingway
James Olson
John Cassavetes
Roy Scheider
Robert Glaudini
Cher
Lewis Collins
Peter Sellers
Jon Voight
Willie Nelson
Ken Wahl
Mark Blankfield
John Hurt
Toni Attell
Bette Midler
Ryan O'Neal
Luciano Pavarotti
C. Thomas Howell
Tom Cruise
Eddie Murphy
Tom Berenger
Dennis Quaid
Keith Gordon
Jennifer Beals
Matthew Broderick
Sam Shepard
Ken Marshall
Christopher Walken
Phoebe Cates
Nicolas Cage
Matt Dillon
James Woods
Shirley MacLaine
Dan Aykroyd
Peter Billingsley
Anthony Perkins
Barbra Streisand
Randy Norton
Graham Chapman
John Cleese
Rick Hill
Jason Robards
Peter Keleghan
Cliff Gorman
Mary Beth McDonough
Linda Blair
Peter Strauss
Tom Selleck
Don Francks
Lou Ferrigno
Tony Roberts
Rutger Hauer
Shô Kosugi
Peter Weller
David Niven
Max Gail
Walter Matthau
Pia Zadora
Cristina Raines
Rosanna Arquette
Malcolm McDowell
Tommy Lee Jones
Martin Yost
Linda Griffiths
Robby Benson
Margot Kidder
Everett Silas
Kyle MacLachlan
Ralph Macchio
Craig Wasson
Heather Langenkamp
F. Murray Abraham
Patrick Swayze
Noah Hathaway
Kevin Bacon
Robert Carradine
Zach Galligan
Michael Douglas
Michael Paré
Molly Ringwald
Rob Reiner
Val Kilmer
Peter Horton
Lance Guest
Tom Hanks
John Getz
Erich Anderson
Rachel Ward
Helen Slater
Drew Barrymore
John Heard
Gene Wilder
Harry Dean Stanton
Sam Waterston
Catherine Mary Stewart
John Lurie
Robert Urich
Judy Davis
Prince
Rob Lowe
Tanya Roberts
Christopher Lambert
Matthew Modine
Sarah Patterson
Lilyan Chauvin
Eric Roberts
Rae Dawn Chong
Teri Garr
Howard E. Rollins Jr.
Tab Hunter
Steven Bauer
Joe Morton
Geneviève Bujold
Tim Matheson
Diane Keaton
Paul McCartney
Michael O'Keefe
Debra Winger
Brooke Adams
Anthony Michael Hall
Sean Astin
Michael J. Fox
William Petersen
Eileen Brennan
Emilio Estevez
Don Ameche
Clu Gulager
Demi Moore
Jonathan Pryce
Danny Glover
Kevin Kline
Tatsuya Nakadai
Maggie Smith
Chris Sarandon
Ethan Hawke
Griffin Dunne
Robert Englund
Steve Railsback
Paul Reubens
Lori Cardille
William Katt
Grant Bardsley
Melanie Kinnaman
Jeffrey Combs
Taimak
Lauren Hutton
Jeff Goldblum
John Cusack
Mikhail Baryshnikov
Gary Busey
Nicholas Rowe
Mickey Rourke
Bruno Lawrence
Ken Ogata
Sally Field
Kevin Costner
Richard Chamberlain
Michael Dudikoff
Timothy Hutton
Helen Shaver
Mia Farrow
Louise Lasser
Sting
Raymond Burr
Jackie Chan
Sheila E.
John Erwin
Joe Colligan
Georgia Engel
Daniel Jenkins
Mario Van Peebles
Sigourney Weaver
Wil Wheaton
Paul Hogan
David Bowie
Charlie Sheen
Isabella Rossellini
Lea Thompson
Rick Moranis
Crispin Glover
Ally Sheedy
Joey Cramer
Kathleen Turner
Corey Haim
Thom Mathews
Rodney Dangerfield
Dennis Hopper
Gary Oldman
Michael Rooker
Jason Lively
Kate Capshaw
Vincent Price
Orson Welles
Michael Moriarty
Jeff Daniels
Daryl Hannah
Tracy Camilla Johns
Tom Waits
Karen Black
Deborah Foreman
