Date,Product_ID,Product_Category,Sales_Amount,Quantity_Sold,Store_Location
2023-01-01 00:00:00,P0,Electronics,100.0,1,New York
2023-01-01 01:00:00,P1,Clothing,115.3,2,Los Angeles
2023-01-01 02:00:00,P2,Groceries,130.6,3,San Francisco
2023-01-01 03:00:00,P3,Home Decor,145.9,4,Miami
2023-01-01 04:00:00,P4,Electronics,161.2,5,Houston
2023-01-01 05:00:00,P5,Clothing,176.5,1,New York
2023-01-01 06:00:00,P6,Groceries,191.8,2,Los Angeles
2023-01-01 07:00:00,P7,Home Decor,207.1,3,San Francisco
2023-01-01 08:00:00,P8,Electronics,222.4,4,Miami
2023-01-01 09:00:00,P9,Clothing,237.7,5,Houston
2023-01-01 10:00:00,P10,Groceries,103.0,1,New York
2023-01-01 11:00:00,P11,Home Decor,118.3,2,Los Angeles
2023-01-01 12:00:00,P12,Electronics,133.6,3,San Francisco
2023-01-01 13:00:00,P13,Clothing,148.9,4,Miami
2023-01-01 14:00:00,P14,Groceries,164.2,5,Houston
2023-01-01 15:00:00,P15,Home Decor,179.5,1,New York
2023-01-01 16:00:00,P16,Electronics,194.8,2,Los Angeles
2023-01-01 17:00:00,P17,Clothing,210.1,3,San Francisco
2023-01-01 18:00:00,P18,Groceries,225.4,4,Miami
2023-01-01 19:00:00,P19,Home Decor,240.7,5,Houston
2023-01-01 20:00:00,P20,Electronics,106.0,1,New York
2023-01-01 21:00:00,P21,Clothing,121.3,2,Los Angeles
2023-01-01 22:00:00,P22,Groceries,136.6,3,San Francisco
2023-01-01 23:00:00,P23,Home Decor,151.9,4,Miami
2023-01-02 00:00:00,P24,Electronics,167.2,5,Houston
2023-01-02 01:00:00,P25,Clothing,182.5,1,New York
2023-01-02 02:00:00,P26,Groceries,197.8,2,Los Angeles
2023-01-02 03:00:00,P27,Home Decor,213.1,3,San Francisco
2023-01-02 04:00:00,P28,Electronics,228.4,4,Miami
2023-01-02 05:00:00,P29,Clothing,243.7,5,Houston
2023-01-02 06:00:00,P30,Groceries,109.0,1,New York
2023-01-02 07:00:00,P31,Home Decor,124.3,2,Los Angeles
2023-01-02 08:00:00,P32,Electronics,139.6,3,San Francisco
2023-01-02 09:00:00,P33,Clothing,154.9,4,Miami
2023-01-02 10:00:00,P34,Groceries,170.2,5,Houston
2023-01-02 11:00:00,P35,Home Decor,185.5,1,New York
2023-01-02 12:00:00,P36,Electronics,200.8,2,Los Angeles
2023-01-02 13:00:00,P37,Clothing,216.1,3,San Francisco
2023-01-02 14:00:00,P38,Groceries,231.4,4,Miami
2023-01-02 15:00:00,P39,Home Decor,246.7,5,Houston
2023-01-02 16:00:00,P40,Electronics,112.0,1,New York
2023-01-02 17:00:00,P41,Clothing,127.3,2,Los Angeles
2023-01-02 18:00:00,P42,Groceries,142.6,3,San Francisco
2023-01-02 19:00:00,P43,Home Decor,157.9,4,Miami
2023-01-02 20:00:00,P44,Electronics,173.2,5,Houston
2023-01-02 21:00:00,P45,Clothing,188.5,1,New York
2023-01-02 22:00:00,P46,Groceries,203.8,2,Los Angeles
2023-01-02 23:00:00,P47,Home Decor,219.1,3,San Francisco
2023-01-03 00:00:00,P48,Electronics,234.4,4,Miami
2023-01-03 01:00:00,P49,Clothing,249.7,5,Houston
2023-01-03 02:00:00,P50,Groceries,115.0,1,New York
2023-01-03 03:00:00,P51,Home Decor,130.3,2,Los Angeles
2023-01-03 04:00:00,P52,Electronics,145.6,3,San Francisco
2023-01-03 05:00:00,P53,Clothing,160.9,4,Miami
2023-01-03 06:00:00,P54,Groceries,176.2,5,Houston
2023-01-03 07:00:00,P55,Home Decor,191.5,1,New York
2023-01-03 08:00:00,P56,Electronics,206.8,2,Los Angeles
2023-01-03 09:00:00,P57,Clothing,222.1,3,San Francisco
2023-01-03 10:00:00,P58,Groceries,237.4,4,Miami
2023-01-03 11:00:00,P59,Home Decor,252.7,5,Houston
2023-01-03 12:00:00,P60,Electronics,118.0,1,New York
2023-01-03 13:00:00,P61,Clothing,133.3,2,Los Angeles
2023-01-03 14:00:00,P62,Groceries,148.6,3,San Francisco
2023-01-03 15:00:00,P63,Home Decor,163.9,4,Miami
2023-01-03 16:00:00,P64,Electronics,179.2,5,Houston
2023-01-03 17:00:00,P65,Clothing,194.5,1,New York
2023-01-03 18:00:00,P66,Groceries,209.8,2,Los Angeles
2023-01-03 19:00:00,P67,Home Decor,225.1,3,San Francisco
2023-01-03 20:00:00,P68,Electronics,240.4,4,Miami
2023-01-03 21:00:00,P69,Clothing,255.7,5,Houston
2023-01-03 22:00:00,P70,Groceries,121.0,1,New York
2023-01-03 23:00:00,P71,Home Decor,136.3,2,Los Angeles
2023-01-04 00:00:00,P72,Electronics,151.6,3,San Francisco
2023-01-04 01:00:00,P73,Clothing,166.9,4,Miami
2023-01-04 02:00:00,P74,Groceries,182.2,5,Houston
2023-01-04 03:00:00,P75,Home Decor,197.5,1,New York
2023-01-04 04:00:00,P76,Electronics,212.8,2,Los Angeles
2023-01-04 05:00:00,P77,Clothing,228.1,3,San Francisco
2023-01-04 06:00:00,P78,Groceries,243.4,4,Miami
2023-01-04 07:00:00,P79,Home Decor,258.7,5,Houston
