order_id,customer_id,order_date,amount,order_status
101,912,2025-02-10,85.03,cancelled
102,755,2025-03-10,192.79,cancelled
103,448,2025-05-18,158.02,completed
104,536,2025-06-16,131.16,completed
105,34,2025-03-23,19.22,completed
106,203,2025-05-01,106.52,completed
107,160,2025-03-28,136.12,cancelled
108,239,2025-05-06,199.56,pending
109,4,2025-02-21,170.55,completed
110,978,2025-01-14,75.20,completed
111,597,2025-04-05,46.80,cancelled
112,59,2025-04-03,60.82,pending
113,371,2025-03-04,195.33,completed
114,766,2025-06-29,92.99,cancelled
115,988,2025-06-21,67.23,cancelled
116,517,2025-05-31,142.26,cancelled
117,784,2025-02-12,166.43,completed
118,943,2025-05-11,151.33,completed
119,519,2025-03-23,132.38,completed
120,156,2025-03-08,78.81,completed
121,827,2025-05-31,163.15,cancelled
122,612,2025-05-15,137.54,cancelled
123,336,2025-04-14,180.46,pending
124,967,2025-05-12,73.63,completed
125,66,2025-03-03,200.00,cancelled
126,445,2025-04-18,17.67,pending
127,820,2025-02-28,169.32,cancelled
128,524,2025-02-02,129.74,completed
129,806,2025-05-24,124.42,cancelled
130,151,2025-02-20,57.34,pending
131,433,2025-06-07,150.97,completed
132,718,2025-06-13,161.64,pending
133,117,2025-06-18,75.92,cancelled
134,728,2025-04-05,94.03,completed
135,482,2025-03-24,115.58,completed
136,856,2025-03-06,127.68,pending
137,355,2025-01-31,10.53,pending
138,477,2025-03-27,82.84,cancelled
139,270,2025-01-18,165.64,cancelled
140,69,2025-01-01,94.31,completed
141,128,2025-03-21,140.03,completed
142,669,2025-06-25,192.41,pending
143,528,2025-03-05,92.71,pending
144,414,2025-06-08,145.55,completed
145,89,2025-04-08,111.27,pending
146,129,2025-06-15,54.64,pending
147,66,2025-06-27,46.67,completed
148,798,2025-05-16,73.95,pending
149,167,2025-02-11,196.06,cancelled
150,206,2025-03-19,160.95,cancelled
151,518,2025-06-12,10.61,completed
152,912,2025-06-23,116.11,completed
153,804,2025-05-26,149.66,cancelled
154,765,2025-04-12,51.66,cancelled
155,415,2025-02-05,154.76,completed
156,859,2025-01-15,60.89,completed
157,827,2025-03-10,20.29,completed
158,771,2025-01-08,113.02,cancelled
159,112,2025-05-17,198.39,pending
160,227,2025-05-11,44.03,pending
161,178,2025-03-01,159.14,cancelled
162,771,2025-06-14,120.70,pending
163,757,2025-04-27,14.78,cancelled
164,247,2025-02-17,158.26,pending
165,610,2025-03-11,39.37,completed
166,915,2025-06-27,168.63,cancelled
167,874,2025-06-14,59.62,cancelled
168,310,2025-01-18,36.04,cancelled
169,655,2025-04-11,173.60,cancelled
170,376,2025-05-05,67.34,cancelled
171,626,2025-04-21,63.72,completed
172,479,2025-03-15,75.68,cancelled
173,767,2025-06-05,166.63,completed
174,242,2025-05-22,70.64,cancelled
175,255,2025-03-31,115.79,completed
176,104,2025-06-03,148.66,cancelled
177,398,2025-06-16,182.56,completed
178,306,2025-02-19,42.59,pending
179,676,2025-04-12,111.49,cancelled
180,275,2025-04-25,26.89,pending
181,991,2025-06-18,64.80,cancelled
182,563,2025-02-03,57.72,cancelled
183,93,2025-05-10,22.98,pending
184,201,2025-05-04,105.78,completed
185,129,2025-04-20,18.58,completed
186,687,2025-01-30,61.35,pending
187,96,2025-02-02,46.42,cancelled
188,315,2025-03-20,129.28,completed
189,573,2025-06-17,33.54,pending
190,37,2025-06-11,34.92,cancelled
191,143,2025-01-06,40.83,completed
192,542,2025-01-16,161.42,cancelled
193,503,2025-02-20,62.16,pending
194,908,2025-03-28,65.90,completed
195,731,2025-03-26,145.44,cancelled
196,112,2025-06-15,62.39,cancelled
197,816,2025-01-23,194.99,cancelled
198,880,2025-05-21,178.45,cancelled
199,193,2025-01-31,158.92,pending
200,285,2025-04-29,112.51,pending
201,870,2025-05-24,132.41,cancelled
202,120,2025-03-06,74.95,cancelled
203,726,2025-02-07,75.26,cancelled
204,670,2025-01-04,36.38,pending
205,694,2025-05-11,141.26,completed
206,444,2025-04-26,29.30,cancelled
207,413,2025-04-12,50.14,cancelled
208,259,2025-06-17,91.65,cancelled
209,102,2025-05-20,113.90,completed
210,325,2025-06-13,137.03,completed
211,795,2025-01-07,167.68,completed
212,388,2025-04-25,141.09,pending
213,677,2025-01-05,154.60,cancelled
214,770,2025-02-18,192.12,cancelled
215,407,2025-05-05,195.12,pending
216,967,2025-06-23,154.11,completed
217,907,2025-03-06,29.34,cancelled
218,471,2025-02-21,113.02,pending
219,108,2025-05-17,143.43,pending
220,856,2025-04-17,129.15,pending
221,698,2025-06-15,69.04,cancelled
222,405,2025-03-15,84.66,cancelled
223,905,2025-05-06,115.93,completed
224,516,2025-01-18,162.43,completed
225,475,2025-01-08,139.15,pending
226,656,2025-05-23,156.02,completed
227,918,2025-02-08,166.98,pending
228,365,2025-02-05,56.35,completed
229,375,2025-05-13,142.27,cancelled
230,937,2025-02-26,179.16,completed
231,752,2025-02-16,150.26,completed
232,599,2025-06-21,196.50,cancelled
233,281,2025-05-13,162.52,pending
234,748,2025-03-30,143.51,pending
235,388,2025-06-17,156.46,cancelled
236,326,2025-06-17,198.45,cancelled
237,923,2025-05-23,48.66,completed
238,922,2025-05-15,31.50,cancelled
239,515,2025-05-22,198.05,completed
240,973,2025-06-19,172.19,pending
241,763,2025-06-08,192.38,pending
242,647,2025-01-29,121.71,cancelled
243,43,2025-05-04,188.81,pending
244,412,2025-03-13,17.88,cancelled
245,330,2025-02-20,116.43,cancelled
246,680,2025-02-10,189.71,pending
247,271,2025-05-24,193.89,cancelled
248,717,2025-01-27,86.87,completed
249,754,2025-03-23,58.20,pending
250,752,2025-06-02,42.40,cancelled
251,362,2025-02-05,136.53,cancelled
252,136,2025-03-31,21.15,pending
253,26,2025-03-03,167.98,pending
254,94,2025-06-07,132.77,pending
255,985,2025-04-22,87.60,pending
256,524,2025-01-10,158.50,pending
257,801,2025-02-17,67.10,completed
258,606,2025-05-15,152.54,completed
259,941,2025-04-10,199.20,cancelled
260,194,2025-05-15,195.59,completed
261,816,2025-03-07,108.37,completed
262,64,2025-06-06,162.87,completed
263,921,2025-06-04,16.73,completed
264,817,2025-04-25,75.59,completed
265,937,2025-04-23,76.63,pending
266,467,2025-02-28,20.52,cancelled
267,355,2025-05-07,31.18,completed
268,712,2025-05-01,88.91,pending
269,818,2025-01-27,195.70,completed
270,303,2025-06-19,64.89,pending
271,790,2025-01-07,65.60,completed
272,317,2025-01-30,27.71,cancelled
273,355,2025-01-07,154.23,completed
274,783,2025-05-28,185.24,completed
275,888,2025-06-26,12.81,completed
276,284,2025-06-20,94.62,pending
277,260,2025-05-19,157.97,cancelled
278,428,2025-06-17,189.69,cancelled
279,283,2025-01-23,66.31,completed
280,570,2025-02-28,100.63,cancelled
281,827,2025-05-03,186.76,cancelled
282,349,2025-01-06,98.48,completed
283,505,2025-01-29,76.32,pending
284,12,2025-03-12,102.61,pending
285,105,2025-01-06,44.07,cancelled
286,378,2025-01-28,155.02,completed
287,462,2025-01-23,83.21,pending
288,585,2025-04-07,65.21,pending
289,718,2025-04-09,13.22,cancelled
290,759,2025-03-29,170.12,completed
291,510,2025-05-06,25.72,cancelled
292,678,2025-04-30,159.83,completed
293,684,2025-02-01,69.23,completed
294,203,2025-06-08,87.01,completed
295,513,2025-03-13,185.60,cancelled
296,767,2025-06-09,69.57,cancelled
297,710,2025-05-13,50.74,pending
298,795,2025-01-03,55.81,completed
299,591,2025-01-01,32.05,cancelled
300,62,2025-05-09,95.05,pending
301,265,2025-04-01,164.29,cancelled
302,224,2025-02-18,121.61,completed
303,661,2025-06-30,170.61,pending
304,731,2025-06-01,137.95,completed
305,108,2025-03-23,188.30,cancelled
306,595,2025-05-06,144.48,pending
307,403,2025-04-13,29.88,pending
308,258,2025-05-04,157.70,pending
309,283,2025-04-06,116.44,completed
310,105,2025-01-26,88.33,completed
311,501,2025-04-19,181.47,completed
312,970,2025-03-27,111.69,pending
313,828,2025-06-26,134.27,completed
314,407,2025-05-21,30.69,pending
315,864,2025-03-16,88.69,cancelled
316,826,2025-01-26,177.48,pending
317,782,2025-01-07,126.76,completed
318,939,2025-05-27,59.87,completed
319,365,2025-06-22,112.40,cancelled
320,637,2025-03-17,178.76,completed
321,864,2025-05-06,103.43,completed
322,543,2025-06-07,34.15,pending
323,95,2025-04-15,108.19,pending
324,32,2025-05-26,199.99,completed
325,281,2025-04-13,151.84,pending
326,236,2025-06-06,176.07,completed
327,635,2025-05-01,151.93,cancelled
328,965,2025-03-21,183.89,completed
329,75,2025-06-30,122.62,pending
330,61,2025-06-21,118.74,cancelled
331,616,2025-06-28,47.67,completed
332,943,2025-02-26,141.71,completed
333,117,2025-01-31,111.93,cancelled
334,652,2025-03-08,130.66,cancelled
335,371,2025-03-17,79.99,completed
336,55,2025-04-04,92.30,cancelled
337,147,2025-06-09,148.07,pending
338,578,2025-02-25,74.04,cancelled
339,112,2025-05-19,176.28,pending
340,321,2025-03-01,119.17,pending
341,753,2025-04-30,135.52,completed
342,579,2025-04-01,166.64,pending
343,830,2025-02-08,164.08,cancelled
344,760,2025-01-24,172.81,pending
345,190,2025-02-25,122.88,cancelled
346,924,2025-05-16,20.01,completed
347,789,2025-05-13,163.53,pending
348,127,2025-04-17,52.38,completed
349,184,2025-01-16,65.64,completed
350,1,2025-04-11,82.98,cancelled
351,511,2025-02-11,89.34,cancelled
352,248,2025-03-10,117.96,cancelled
353,491,2025-05-30,175.97,completed
354,739,2025-01-18,180.03,pending
355,198,2025-05-06,29.60,completed
356,298,2025-06-17,132.20,cancelled
357,531,2025-03-14,167.37,cancelled
358,713,2025-06-24,114.10,pending
359,815,2025-02-07,118.21,pending
360,62,2025-05-19,189.44,completed
361,70,2025-05-24,183.69,cancelled
362,856,2025-03-13,74.15,cancelled
363,704,2025-05-28,138.50,completed
364,753,2025-02-09,21.08,pending
365,158,2025-05-07,85.19,pending
366,471,2025-03-21,11.12,cancelled
367,141,2025-01-15,36.78,cancelled
368,46,2025-03-24,148.52,cancelled
369,514,2025-05-20,20.78,pending
370,727,2025-06-14,12.97,cancelled
371,420,2025-05-13,44.91,pending
372,990,2025-04-21,76.71,cancelled
373,57,2025-04-11,83.40,cancelled
374,915,2025-02-23,31.42,cancelled
375,166,2025-02-20,50.22,completed
376,46,2025-01-09,84.67,pending
377,948,2025-03-18,88.73,completed
378,220,2025-04-19,97.84,completed
379,311,2025-05-21,175.17,cancelled
380,654,2025-05-12,172.62,pending
381,690,2025-01-25,78.57,completed
382,517,2025-04-17,65.96,cancelled
383,892,2025-04-02,11.26,cancelled
384,158,2025-01-08,23.71,cancelled
385,338,2025-06-28,81.02,pending
386,63,2025-05-24,110.31,cancelled
387,940,2025-01-29,58.35,completed
388,25,2025-05-06,57.25,cancelled
389,534,2025-05-24,46.67,pending
390,594,2025-03-29,139.94,pending
391,652,2025-03-09,68.20,completed
392,388,2025-06-11,148.91,pending
393,199,2025-03-23,105.72,pending
394,849,2025-06-08,167.24,completed
395,954,2025-03-24,128.19,completed
396,822,2025-06-20,30.07,pending
397,532,2025-03-28,64.82,completed
398,539,2025-06-26,153.71,completed
399,222,2025-04-26,103.35,completed
400,822,2025-06-12,182.97,completed
401,644,2025-06-14,125.50,completed
402,305,2025-01-23,56.19,cancelled
403,771,2025-04-19,112.97,completed
404,639,2025-04-29,79.51,pending
405,455,2025-05-08,167.76,completed
406,755,2025-02-24,77.12,cancelled
407,626,2025-01-10,157.51,pending
408,65,2025-04-21,188.70,cancelled
409,33,2025-01-23,34.33,cancelled
410,32,2025-01-09,161.85,pending
411,799,2025-04-12,80.29,completed
412,345,2025-05-14,114.17,pending
413,386,2025-05-13,130.09,cancelled
414,564,2025-06-30,196.35,pending
415,535,2025-01-09,24.32,pending
416,681,2025-01-20,49.98,pending
417,759,2025-01-19,182.04,pending
