ProductID,ProductName,Quantity,Price
1,Air Fryer,442,935.5
2,Charger,51,194.24
3,Router,250,934.46
4,Jump Rope,449,695.25
5,Ice Cream Maker,364,884.21
6,Smart Thermostat,21,762.18
7,Smart Light,291,165.59
8,Mouse,170,128.45
9,Mouse,216,569.14
10,Drone,63,406.56
11,Smart Thermostat,68,992.64
12,Ice Cream Maker,61,505.96
13,Air Fryer,42,860.48
14,Charger,343,374.14
15,Smart Doorbell,412,595.02
16,Stand Mixer,168,284.11
17,Blender,381,962.46
18,Resistance Bands,333,149.7
19,Drone,119,655.26
20,Coffee Maker,186,819.45
21,Smart Lock,307,35.25
22,Motherboard,285,586.73
23,Cooling Fan,408,792.07
24,Foam Roller,295,860.4
25,Resistance Bands,40,856.63
26,Fitness Equipment,413,952.79
27,Screen Protector,277,660.61
28,Motherboard,85,84.69
29,Treadmill,375,555.11
30,Keyboard,216,550.46
31,External Hard Drive,22,502.93
32,Mouse,383,511.67
33,Smart Lock,200,921.51
34,Smart Plug,279,819.14
35,Pressure Cooker,321,262.67
36,Jump Rope,18,550.88
37,Processor,348,838.66
38,Smart Plug,449,421.07
39,Fitness Equipment,125,416.81
40,Smart Lock,69,888.96
41,Smartphone,235,278.32
42,Monitor,417,958.31
43,Ethernet Cable,210,562.04
44,External Hard Drive,62,924.22
45,Charger,252,630.76
46,Food Processor,336,968.02
47,Electric Bike,400,297.33
48,Printer,397,935.19
49,Smartphone,409,624.29
50,Electric Bike,364,356.8
51,Ice Cream Maker,292,224.37
52,Air Fryer,327,531.05
53,Ethernet Cable,250,408.19
54,Smart Plug,311,356.58
55,Scanner,345,689.97
56,Laptop Bag,7,747.04
57,Speakers,49,826.66
58,Modem,345,953.9
59,Hand Mixer,118,408.36
60,Screen Protector,185,543.19
61,Foam Roller,428,716.71
62,Electric Bike,326,512.55
63,Modem,110,237.17
64,Hand Mixer,396,133.39
65,Fitness Equipment,368,673.57
66,Drone,55,786.21
67,Security Camera,172,443.69
68,Hoverboard,287,887.95
69,Power Bank,179,853.03
70,Electric Kettle,339,66.18
71,Speakers,24,109.33
72,Monitor,283,827.2
73,Smartwatch,369,695.56
74,Slow Cooker,208,568.26
75,Coffee Maker,231,697.92
76,External Hard Drive,109,354.09
77,Surge Protector,183,506.61
78,HDMI Cable,443,51.94
79,Gaming Console,19,934.11
80,Speakers,367,450.84
81,Air Fryer,104,104.64
82,Smartphone,224,187.51
83,Power Bank,263,993.05
84,Printer,77,747.62
85,Router,127,397.29
86,Gaming Console,131,571.62
87,External Hard Drive,369,21.61
88,Game Controller,235,792.14
89,Phone Case,51,571.21
90,USB Flash Drive,83,630.83
91,Processor,260,665.97
92,Pressure Cooker,177,333.95
93,Toaster,184,393.8
94,Toaster,384,838.21
95,USB Flash Drive,220,867.33
96,Power Supply,421,62.67
97,Smartwatch,297,132.73
98,Electric Scooter,306,330.74
99,Air Fryer,288,856.97
100,Yoga Mat,14,249.16
101,Smart Thermostat,268,890.79
102,Toaster,23,546.34
103,Juicer,430,500.59
104,HDMI Cable,187,122.27
105,Smart Light,85,541.36
106,Smartwatch,160,950.03
107,Air Fryer,403,618.28
108,Food Processor,265,199.95
