,EmployeeNumber,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike
0,1,1102,94,19479,5993,11
1,2,279,61,24907,5130,23
2,4,1373,92,2396,2090,15
3,5,1392,56,23159,2909,11
4,7,591,40,16632,3468,12
5,8,1005,79,11864,3068,13
6,10,1324,81,9964,2670,20
7,11,1358,67,13335,2693,22
8,12,216,44,8787,9526,21
9,13,1299,94,16577,5237,13
10,14,809,84,16479,2426,13
11,15,153,49,12682,4193,12
12,16,670,31,15170,2911,17
13,18,1346,93,8758,2661,11
14,19,103,50,12947,2028,14
15,20,1389,51,10195,9980,11
16,21,334,80,15053,3298,12
17,22,1123,96,7324,2935,13
18,23,1219,78,22021,15427,16
19,24,371,45,4306,3944,11
20,26,673,96,8232,4011,18
21,27,1218,82,6986,3407,23
22,28,419,53,21293,11994,11
23,30,391,96,19281,1232,14
24,31,699,83,17102,2960,11
25,32,1282,58,10735,19094,11
26,33,1125,72,4681,3919,22
27,35,691,48,21173,6825,11
28,36,477,42,2094,10248,14
29,38,705,83,22822,18947,12
30,39,924,78,6670,2496,11
31,40,1459,41,19121,6465,13
32,41,125,83,16117,2206,13
33,42,895,56,3335,2086,14
34,45,813,61,3020,2293,16
35,46,1273,72,21923,2645,12
36,47,869,86,3810,2683,14
37,49,890,97,9687,2014,13
38,51,852,82,13072,3419,14
39,52,1141,42,3193,5376,19
40,53,464,75,10910,1951,12
41,54,1240,33,19715,2341,13
42,55,1357,48,10558,2293,12
43,56,994,37,2975,8726,15
44,57,721,58,10781,4011,23
45,58,1360,49,16280,19545,12
46,60,1065,72,10034,4568,20
47,61,408,73,10227,3022,21
48,62,1211,98,20445,5772,21
49,63,1229,36,4892,2269,19
50,64,626,98,19294,5381,13
51,65,1434,50,11179,3441,13
52,68,1488,75,4009,5454,21
53,70,1097,79,8302,9884,13
54,72,1443,47,21436,4157,19
55,73,515,98,15146,13458,12
56,74,853,71,11031,9069,22
57,75,1142,30,16002,4014,15
58,76,655,48,9528,5915,22
59,77,1115,51,2689,5993,18
60,78,427,33,10877,6162,22
61,79,653,50,5456,2406,11
62,80,989,43,16701,18740,12
63,81,1435,99,2354,7637,11
64,83,1223,59,8202,10096,13
65,84,836,33,19730,14756,14
66,85,1195,95,22656,6499,13
67,86,1339,59,18787,9724,17
68,88,664,79,5868,2194,13
69,90,318,79,21777,3388,17
70,91,1225,57,24668,5473,11
71,94,1328,76,4956,2703,23
72,95,1082,87,18775,2501,17
73,96,548,66,7346,6220,17
74,97,132,55,22002,3038,12
75,98,746,61,20682,4424,23
76,100,776,32,23016,4312,14
77,101,193,52,15067,13245,14
78,102,397,30,25258,13664,13
79,103,945,80,10425,5021,22
80,104,852,55,15998,5126,12
81,105,1214,30,26278,2859,18
82,106,111,70,18092,10239,14
83,107,573,79,15717,5329,12
84,110,1153,94,17736,4325,15
85,112,1400,49,21698,7260,11
86,113,541,62,9518,2322,13
87,116,432,96,18725,2075,23
88,117,288,99,15830,4152,19
89,118,669,64,13596,9619,16
90,119,530,78,14115,13503,22
91,120,632,71,8423,5441,22
92,121,1334,63,19760,5209,12
93,124,638,40,3142,10673,13
94,125,1093,87,24301,5010,16
95,126,1217,60,24001,13549,12
96,128,1353,33,17519,4999,21
97,129,120,43,8863,4221,15
